"","ID","TYPE","D50","TOC","Silver_ppm","Aluminum_ppm","Arsenic_ppm","Barium_ppm","Beryllium_ppm","Bismuth_ppm","Calcium_ppm","Cadmium_ppm","Cerium_ppm","Cobalt_ppm","Chromium_ppm","Caesium_ppm","Copper_ppm","Iron_ppm","Gallium_ppm","Potassium_ppm","Lanthanum_ppm","Lithium_ppm","Magnesium_ppm","Molybdenum_ppm","Sodium_ppm","Niobium_ppm","Nickel_ppm","Phosphorus_ppm","Lead_ppm","Rubidium_ppm","Antimony_ppm","Scandium_ppm","Strontium_ppm","Thorium_ppm","Titanium_ppm","Thallium_ppm","Uranium_ppm","Vanadium_ppm","Yttrium_ppm","Zinc_ppm"
"1","1SO3","Bank",27.528,1.07,0.124,39700,3,574,0.9,0.14,5450,0.17,56.3,4.9,28.6,2,11.3,12300,8.5,14700,25.4,15.3,2870,0.4,9200,7.2,11.7,347,13.5,54.4,0.59,4.6,125,7.77,2160,0.39,2.28,48.8,13.1,36.7
"2","1SO4","Bank",25.696,0.83,0.125,41300,4.3,588,0.98,0.11,4700,0.16,43.6,5.1,28.1,2.3,12.3,13700,9,15000,21.5,16,2800,0.51,9070,6.5,12.8,374,12.8,57.7,0.7,4.9,124,6.89,2070,0.4,1.91,51.7,12,39.7
"3","2SO3","Bank",29.085,0.84,0.136,40300,4.5,569,1,0.11,4640,0.16,45.2,5.3,28.5,2.1,12,13500,8.8,14900,23.6,14.1,2700,0.51,9060,7.5,12.8,342,13.4,55.9,0.69,4.9,121,6.89,2210,0.38,2.02,52.4,12.4,38.5
"4","2SO4","Bank",22.424,0.84,0.127,43300,4.7,624,0.96,0.12,4860,0.16,42.2,4.9,29.8,2.5,12.6,14500,9.5,15300,22.5,16.3,3020,0.52,9390,6.8,13.9,381,12.7,60,0.73,5.1,131,6.5,1930,0.42,1.81,53.9,12.3,42.5
"5","3SO3","Bank",24.831,0.85,0.122,36400,3.8,518,0.89,0.1,4210,0.13,36,4.3,24.5,2,10,11300,8,14500,18,13.8,2420,0.43,8850,6.3,10.8,311,12.2,55.1,0.79,4.2,116,5.56,1760,0.38,1.76,45.2,10,33.9
"6","3SO4","Bank",27.548,0.73,0.156,38600,3.3,567,0.86,0.13,4480,0.16,46.5,5.4,26.9,2.1,11.2,12700,8.7,14600,22,14.7,2570,0.49,8930,7.3,12.5,329,13.3,56.5,1,4.5,125,6.77,2000,0.39,1.83,48.8,11.9,36.5
"7","4SO3","Bank",26.664,0.76,0.135,38800,3.6,568,0.86,0.1,5180,0.17,42.6,5.7,26.4,2,10.8,13000,8.6,14500,20.4,14.4,2670,0.49,9060,6.7,12.5,361,13.1,54,0.69,4.6,127,6.65,2050,0.37,1.88,49.6,11.9,37
"9","5SO2","Bank",22.895,0.85,0.144,45000,4.7,612,1.1,0.12,4840,0.16,41.2,4.9,30.6,2.5,13,14800,10,15800,20.9,17.2,3110,0.53,9730,7.1,14.1,389,13.3,63.7,0.78,5.2,130,6.26,1980,0.42,1.82,55.8,12.1,43.5
"10","5SO3","Bank",28.199,0.85,0.149,41700,3.7,581,0.84,0.13,4690,0.16,46.5,5,30.6,2.4,12.8,14500,9.3,14800,22.9,16,2930,0.52,8850,7,13.7,345,13.5,58.5,0.86,5.2,126,7.34,2180,0.42,2.1,55.7,12.9,43.1
"11","5SO4","Bank",20.896,0.93,0.132,43700,4.2,608,1.1,0.14,4150,0.19,52.7,5.1,33.4,2.5,14.6,16200,10.1,14800,25.1,17.8,2960,0.58,8400,7.8,14.9,396,14.1,62,0.69,6,124,7.65,2240,0.47,2.24,57.9,14.7,48
