sample,TYPE,D50 ,TOC,Potassiumgg,210PbXs
CTAIL1,mixture,13.01307801,3.875543211,886.1099624,1.140546796
CTAIL2,mixture,18.14892857,7.321013498,861.5,2.8065
CTAIL3,mixture,12.16435714,3.694285124,1345.571429,0.843357143
CTAIL4,mixture,10.7285,2.40245781,568,0.423550419
CTAIL5,mixture,11.01052632,2.08441641,769.3684211,0.488779623
CTAIL6,mixture,13.41358835,4.233768571,909.4582707,1.270900231
CTAIL7,mixture,11.98590789,3.186449153,891.0319549,0.807356155
CTAIL8,mixture,13.18282218,3.911794828,794.2176692,1.199984727
CTAIL9,mixture,13.46999361,4.170160291,949.7319549,1.283946072
CTAIL10,mixture,14.1556312,4.725624139,938.8082707,1.509195189
CTAIL11,mixture,12.10129098,3.347436025,948.6522556,0.842813907
CTAIL12,mixture,12.44077932,3.419939259,764.8676692,0.961689769
CTAIL13,mixture,13.35461053,4.009173419,892.1116541,1.24848832
CTAIL14,mixture,12.11667857,3.47563567,947.2571429,0.850758403
CTAIL15,mixture,14.33819041,4.601871971,868.4479323,1.567211544
CTAIL16,mixture,14.09589549,4.58400373,720.2118421,1.502400651
CTAIL17,mixture,11.50154756,2.840661471,1008.522932,0.641816586
